Timestamp,CurrentEmails,CurrentEmails01,TargetEmails,TargetEmails01,Overwhelmed,Overwhelmed01,CurrentPosition,CurrentPosition01,Age,Age01
2016/10/24 7:25:56 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 7:27:25 PM EST,.,.,>500,,Always,5,Other,13,35-44,3
2016/10/24 7:28:03 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 7:29:43 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 7:32:15 AM EST,100-500,5,100-500,5,Always,5,Assistant professor,5,35-44,3
2016/10/24 7:32:17 AM EST,<20,2,<20,2,Sometimes,3,Scientist at an NGO/non-profit,11,25-34,2
2016/10/24 7:32:42 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Research scientist in government,10,35-44,3
2016/10/24 7:33:59 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 7:34:35 AM EST,20-50,3,<20,2,Rarely,2,Full professor,7,55-64,5
2016/10/24 7:35:36 AM EST,<20,2,<20,2,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 7:35:57 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 7:36:29 AM EST,20-50,3,Inbox zero!!!,1,Most of the time,4,Postdoc,3,35-44,3
2016/10/24 7:37:04 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 7:37:30 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 7:37:44 AM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 7:39:04 PM EST,>500,6,<20,2,Sometimes,3,Research scientist in industry,9,35-44,3
2016/10/24 7:39:24 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Postdoc,3,35-44,3
2016/10/24 7:39:39 AM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Full professor,7,45-54,4
2016/10/24 7:39:41 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Never,1,Postdoc,3,25-34,2
2016/10/24 7:42:53 PM EST,20-50,3,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 7:44:13 PM EST,20-50,3,<20,2,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 7:44:48 AM EST,>500,6,>500,6,Always,5,Associate professor,6,35-44,3
2016/10/24 7:48:32 AM EST,100-500,5,20-50,3,Sometimes,3,Other,13,45-54,4
2016/10/24 7:51:22 AM EST,50-100,4,.,.,Rarely,2,Full professor,7,45-54,4
2016/10/24 7:51:51 PM EST,100-500,5,50-100,4,Always,5,Full professor,7,35-44,3
2016/10/24 7:51:59 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Associate professor,6,35-44,3
2016/10/24 7:53:28 AM EST,Inbox zero!!!,1,<20,2,Rarely,2,Full professor,7,65-74,6
2016/10/24 7:54:39 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Grad student,2,35-44,3
2016/10/24 7:55:47 AM EST,>500,6,>500,6,Most of the time,4,Full professor,7,55-64,5
2016/10/24 7:55:54 AM EST,Inbox zero!!!,1,<20,2,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 8:00:57 AM EST,.,.,100-500,5,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 8:01:15 PM EST,100-500,5,Inbox zero!!!,1,Always,5,Assistant professor,5,35-44,3
2016/10/24 8:01:28 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 8:01:37 AM EST,100-500,5,<20,2,Most of the time,4,Full professor,7,45-54,4
2016/10/24 8:01:42 AM EST,<20,2,<20,2,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 8:01:52 AM EST,50-100,4,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 8:02:06 PM EST,50-100,4,<20,2,Always,5,Assistant professor,5,35-44,3
2016/10/24 8:03:52 AM EST,<20,2,<20,2,Never,1,Grad student,2,25-34,2
2016/10/24 8:05:52 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,<25,1
2016/10/24 8:07:58 AM EST,20-50,3,<20,2,Sometimes,3,Research scientist in academia,4,35-44,3
2016/10/24 8:12:11 PM EST,<20,2,<20,2,Most of the time,4,Postdoc,3,35-44,3
2016/10/24 8:12:47 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 8:12:56 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 8:15:38 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Full professor,7,45-54,4
2016/10/24 8:16:00 AM EST,>500,6,I don't care how many emails are in my inbox,7,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 8:17:09 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 8:18:13 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Full professor,7,45-54,4
2016/10/24 8:18:54 PM EST,50-100,4,<20,2,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 8:21:33 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 8:22:25 AM EST,20-50,3,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 8:23:15 PM EST,>500,6,I don't care how many emails are in my inbox,7,Always,5,Full professor,7,65-74,6
2016/10/24 8:23:53 AM EST,>500,6,Inbox zero!!!,1,Most of the time,4,Research scientist in academia,4,35-44,3
2016/10/24 8:26:01 PM EST,20-50,3,Inbox zero!!!,1,Most of the time,4,Associate professor,6,45-54,4
2016/10/24 8:29:09 PM EST,20-50,3,<20,2,Rarely,2,Assistant professor,5,35-44,3
2016/10/24 8:29:48 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Research scientist in academia,4,25-34,2
2016/10/24 8:30:11 AM EST,20-50,3,20-50,3,Rarely,2,Postdoc,3,25-34,2
2016/10/24 8:31:09 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 8:31:21 AM EST,>500,6,<20,2,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 8:31:38 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 8:32:11 AM EST,50-100,4,<20,2,Sometimes,3,Grad student,2,25-34,2
2016/10/24 8:34:53 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 8:36:18 AM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 8:36:26 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Never,1,Assistant professor,5,25-34,2
2016/10/24 8:40:06 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Research scientist in academia,4,35-44,3
2016/10/24 8:40:18 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,35-44,3
2016/10/24 8:40:37 AM EST,>500,6,>500,6,Always,5,Full professor,7,35-44,3
2016/10/24 8:42:04 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Research scientist in industry,9,35-44,3
2016/10/24 8:42:13 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Research scientist in government,10,35-44,3
